"HM_GL_IN_OVERSIGHT_REPORTS_ID","HM_SITE_ID","HM_STUDY_ID","REPORT_SOURCE","REPORT_ID","REPORT_TYPE","REPORT_START_DATE","REPORT_END_DATE"
2712297,230328,24533,"SH","3796","On Site Visit - Ongoing",2014-06-03 00:00:00,2014-06-03 00:00:00
2711826,230019,24533,"SH","12521","On Site Visit - Ongoing",2015-01-29 00:00:00,2015-01-29 00:00:00
2711827,230019,24533,"SH","536","On Site Visit - Ongoing",2014-01-08 00:00:00,2014-01-08 00:00:00
2710653,230943,24533,"SH","10809","On Site Visit - Ongoing",2014-12-03 00:00:00,2014-12-03 00:00:00
2710654,230944,24533,"SH","11228","On Site Visit - Ongoing",2014-12-11 00:00:00,2014-12-12 00:00:00
2711301,231508,24533,"SH","8143","On Site Visit - Ongoing",2014-10-01 00:00:00,2014-10-01 00:00:00
2706009,227664,24533,"PSQRV","12470","PSQRV",2013-05-13 00:00:00,2013-05-14 00:00:00
2706013,227676,24533,"PSQRV","12473","PSQRV",2013-08-21 00:00:00,2013-08-21 00:00:00
2706016,227686,24533,"PSQRV","12474","PSQRV",2013-08-07 00:00:00,2013-08-07 00:00:00
2709443,227690,24533,"SH","715","On Site Visit - Ongoing",2014-01-23 00:00:00,2014-01-23 00:00:00
2709444,227691,24533,"SH","10811","On Site Visit - Ongoing",2014-11-28 00:00:00,2014-11-28 00:00:00
2709445,227691,24533,"SH","49","On Site Visit - Ongoing",2013-11-20 00:00:00,2013-11-20 00:00:00
2706019,227692,24533,"PSQRV","12478","PSQRV",2013-03-27 00:00:00,2013-03-27 00:00:00
2706020,227692,24533,"PSQRV","12477","PSQRV",2013-03-06 00:00:00,2013-03-06 00:00:00
2709446,227692,24533,"SH","10761","On Site Visit - Ongoing",2014-11-27 00:00:00,2014-11-27 00:00:00
2709447,227692,24533,"SH","2261","On Site Visit - Ongoing",2014-03-20 00:00:00,2014-03-21 00:00:00
2706021,227694,24533,"PSQRV","12480","PSQRV",2013-07-03 00:00:00,2013-07-03 00:00:00
2709448,227694,24533,"SH","9197","On Site Visit - Ongoing",2014-10-23 00:00:00,2014-10-23 00:00:00
2706024,227726,24533,"PSQRV","15512","PSQRV",2013-10-30 00:00:00,2013-10-31 00:00:00
2709454,227741,24533,"SH","10718","On Site Visit - Ongoing",2014-12-04 00:00:00,2014-12-05 00:00:00
2709455,227741,24533,"SH","325","On Site Visit - Ongoing",2013-12-17 00:00:00,2013-12-17 00:00:00
2709456,227754,24533,"SH","4585","On Site Visit - Ongoing",2014-06-26 00:00:00,2014-06-27 00:00:00
2709055,227270,24533,"SH","2066","On Site Visit - Ongoing",2014-03-19 00:00:00,2014-03-19 00:00:00
2709056,227271,24533,"SH","10909","On Site Visit - Ongoing",2014-12-09 00:00:00,2014-12-09 00:00:00
2709057,227271,24533,"SH","1011","On Site Visit - Ongoing",2014-01-29 00:00:00,2014-01-30 00:00:00
2705632,227272,24533,"PSQRV","12441","PSQRV",2013-05-22 00:00:00,2013-05-22 00:00:00
2709058,227272,24533,"SH","16889","On Site Visit - Ongoing",2015-04-15 00:00:00,2015-04-16 00:00:00
2709059,227272,24533,"SH","10920","On Site Visit - Ongoing",2014-12-15 00:00:00,2014-12-15 00:00:00
2709737,228298,24533,"SH","16437","On Site Visit - Ongoing",2015-04-01 00:00:00,2015-04-01 00:00:00
2709738,228298,24533,"SH","16202","On Site Visit - Ongoing",2015-04-01 00:00:00,2015-04-01 00:00:00
2709739,228298,24533,"SH","7659","On Site Visit - Ongoing",2014-09-04 00:00:00,2014-09-05 00:00:00
2709488,227790,24533,"SH","5417","On Site Visit - Ongoing",2014-07-31 00:00:00,2014-07-31 00:00:00
2705716,227285,24533,"PSQRV","12443","PSQRV",2013-06-07 00:00:00,2013-06-21 00:00:00
2709149,227285,24533,"SH","11216","On Site Visit - Ongoing",2014-12-19 00:00:00,2014-12-19 00:00:00
2709150,227286,24533,"SH","1237","On Site Visit - Ongoing",2014-02-17 00:00:00,2014-02-17 00:00:00
2709151,227287,24533,"SH","8931","On Site Visit - Ongoing",2014-10-21 00:00:00,2014-10-22 00:00:00
2705733,227342,24533,"PSQRV","12444","PSQRV",2013-07-23 00:00:00,2013-07-23 00:00:00
2709163,227342,24533,"SH","10283","On Site Visit - Ongoing",2014-11-18 00:00:00,2014-11-18 00:00:00
2705734,227344,24533,"PSQRV","12445","PSQRV",2013-10-16 00:00:00,2013-10-16 00:00:00
2709505,227865,24533,"SH","1676","On Site Visit - Ongoing",2014-03-05 00:00:00,2014-03-05 00:00:00
2706139,227866,24533,"PSQRV","12481","PSQRV",2013-06-24 00:00:00,2013-06-24 00:00:00
2709506,227868,24533,"SH","8857","On Site Visit - Ongoing",2014-10-16 00:00:00,2014-10-16 00:00:00
2709507,227869,24533,"SH","1499","On Site Visit - Ongoing",2014-02-26 00:00:00,2014-02-26 00:00:00
2706140,227889,24533,"PSQRV","12482","PSQRV",2013-10-18 00:00:00,2013-10-18 00:00:00
2709511,227889,24533,"SH","15185","On Site Visit - Ongoing",2015-03-16 00:00:00,2015-03-17 00:00:00
2705351,228849,24533,"PSQRV","12487","PSQRV",2013-08-20 00:00:00,2013-08-20 00:00:00
2709200,229637,24533,"SH","7775","On Site Visit - Ongoing",2014-09-22 00:00:00,2014-09-22 00:00:00
2709823,232459,24533,"SH","8497","On Site Visit - Ongoing",2014-10-03 00:00:00,2014-10-08 00:00:00
2709824,232459,24533,"SH","8700","On Site Visit - Ongoing",2014-10-13 00:00:00,2014-10-13 00:00:00
2709825,232459,24533,"SH","3766","On Site Visit - Ongoing",2014-05-23 00:00:00,2014-06-02 00:00:00
2708865,226910,24533,"SH","3566","On Site Visit - Ongoing",2014-05-13 00:00:00,2014-05-13 00:00:00
2705400,226914,24533,"PSQRV","12418","PSQRV",2012-12-05 00:00:00,2012-12-05 00:00:00
2705401,226914,24533,"PSQRV","12417","PSQRV",2012-10-31 00:00:00,2012-10-31 00:00:00
2708866,226914,24533,"SH","3712","On Site Visit - Ongoing",2014-05-23 00:00:00,2014-05-23 00:00:00
2705402,226915,24533,"PSQRV","12421","PSQRV",2012-11-19 00:00:00,2012-11-29 00:00:00
2708867,226915,24533,"SH","8007","On Site Visit - Ongoing",2014-09-16 00:00:00,2014-09-17 00:00:00
2708868,226915,24533,"SH","11026","On Site Visit - Ongoing",2014-12-18 00:00:00,2014-12-18 00:00:00
2708869,226915,24533,"SH","3705","On Site Visit - Ongoing",2014-05-16 00:00:00,2014-05-16 00:00:00
2708870,226915,24533,"SH","1223","On Site Visit - Ongoing",2014-01-20 00:00:00,2014-02-06 00:00:00
2708872,226922,24533,"SH","2067","On Site Visit - Ongoing",2014-03-24 00:00:00,2014-03-24 00:00:00
2705804,227399,24533,"PSQRV","12447","PSQRV",2013-06-11 00:00:00,2013-06-20 00:00:00
2705805,227399,24533,"PSQRV","12446","PSQRV",2012-12-27 00:00:00,2012-12-28 00:00:00
2705806,227401,24533,"PSQRV","15508","PSQRV",2013-11-07 00:00:00,2013-11-08 00:00:00
2709267,227401,24533,"SH","13158","On Site Visit - Ongoing",2015-01-20 00:00:00,2015-01-26 00:00:00
2705809,227447,24533,"PSQRV","12449","PSQRV",2012-11-28 00:00:00,2012-11-28 00:00:00
2709272,227447,24533,"SH","5228","On Site Visit - Ongoing",2014-07-29 00:00:00,2014-07-29 00:00:00
2709810,232402,24533,"SH","7984","On Site Visit - Ongoing",2014-09-23 00:00:00,2014-09-24 00:00:00
2709273,227478,24533,"SH","1146","On Site Visit - Ongoing",2014-02-11 00:00:00,2014-02-11 00:00:00
2709279,227512,24533,"SH","14600","On Site Visit - Ongoing",2015-03-05 00:00:00,2015-03-05 00:00:00
2705484,227051,24533,"PSQRV","12424","PSQRV",2013-08-21 00:00:00,2013-08-22 00:00:00
2705485,227051,24533,"PSQRV","12423","PSQRV",2012-09-18 00:00:00,2012-09-19 00:00:00
2708966,227051,24533,"SH","11295","On Site Visit - Ongoing",2014-12-25 00:00:00,2014-12-25 00:00:00
2708967,227051,24533,"SH","5052","On Site Visit - Ongoing",2014-07-10 00:00:00,2014-07-11 00:00:00
2708968,227051,24533,"SH","2466","On Site Visit - Ongoing",2014-03-28 00:00:00,2014-03-28 00:00:00
2708969,227051,24533,"SH","430","On Site Visit - Ongoing",2013-12-17 00:00:00,2013-12-17 00:00:00
2709594,228067,24533,"SH","125","On Site Visit - Ongoing",2013-11-25 00:00:00,2013-11-25 00:00:00
2709599,228083,24533,"SH","14413","On Site Visit - Ongoing",2015-03-03 00:00:00,2015-03-03 00:00:00
2709600,228083,24533,"SH","481","On Site Visit - Ongoing",2013-12-19 00:00:00,2013-12-19 00:00:00
2705490,227068,24533,"PSQRV","12425","PSQRV",2013-09-16 00:00:00,2013-09-17 00:00:00
2708977,227068,24533,"SH","8708","On Site Visit - Ongoing",2014-10-14 00:00:00,2014-10-14 00:00:00
2705502,227099,24533,"PSQRV","12427","PSQRV",2013-03-12 00:00:00,2013-03-12 00:00:00
2705503,227099,24533,"PSQRV","12426","PSQRV",2012-11-14 00:00:00,2012-11-14 00:00:00
2708985,227099,24533,"SH","10384","On Site Visit - Ongoing",2014-11-17 00:00:00,2014-11-17 00:00:00
2708986,227105,24533,"SH","2728","On Site Visit - Ongoing",2014-04-14 00:00:00,2014-04-14 00:00:00
2705507,227108,24533,"PSQRV","12430","PSQRV",2013-06-04 00:00:00,2013-06-04 00:00:00
2708987,227108,24533,"SH","2169","On Site Visit - Ongoing",2014-03-25 00:00:00,2014-03-25 00:00:00
2708988,227108,24533,"SH","716","On Site Visit - Ongoing",2014-01-21 00:00:00,2014-01-22 00:00:00
2709363,227523,24533,"SH","14976","On Site Visit - Ongoing",2015-03-12 00:00:00,2015-03-13 00:00:00
2709364,227523,24533,"SH","1962","On Site Visit - Ongoing",2014-03-18 00:00:00,2014-03-18 00:00:00
2705907,227532,24533,"PSQRV","12454","PSQRV",2013-10-10 00:00:00,2013-10-11 00:00:00
2705911,227555,24533,"PSQRV","12456","PSQRV",2013-09-19 00:00:00,2013-09-20 00:00:00
2705179,228554,24533,"PSQRV","12485","PSQRV",2013-08-08 00:00:00,2013-08-08 00:00:00
2705180,228577,24533,"PSQRV","12486","PSQRV",2013-09-18 00:00:00,2013-09-19 00:00:00
